SpT   Teff   logT   BCv     Mv    logL  B-V   Bt-Vt    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1  Msun  logAge b-y    #SpT    M_J    M_K    Mbol 
O9V    34000  4.531  -3.20  -4.00  4.77 -0.318 ...     -1.114   ...   -0.369  -1.000  -0.164  -0.071   ...    19.6  6.6*  -0.128  O9V    -3.44  -3.20  -7.20 
O9.5V  32000  4.505  -3.06  -3.90  4.67 -0.312 ...     -1.087   ...   -0.361  -0.977  -0.161  -0.069   ...    18    6.7*  -0.125  O9.5V  -3.25  -3.02  -6.96 
B0V    31500  4.498  -3.03  -3.80  4.65 -0.307 ...     -1.067   ...   -0.355  -0.958  -0.159  -0.067   ...    17.5  6.8*  -0.121  B0V    -3.17  -2.94  -6.83 
B0.5V  29000  4.462  -2.87  -3.60  4.47 -0.295 ...     -1.026   ...   -0.338  -0.913  -0.153  -0.063   ...    15    6.9*  -0.120  B0.5V  -3.01  -2.79  -6.47 
B1V    26000  4.415  -2.61  -3.00  4.13 -0.278 ...     -0.995  -0.115 -0.325  -0.874  -0.148  -0.059   ...    11    7.0*  -0.114  B1V    -2.14  -1.93  -5.41 
B1.5V  24800  4.394  -2.43  -2.60  3.89 -0.252 -0.274  -0.910  -0.114 -0.281  -0.752  -0.132  -0.047   0.035  10    7.1*  -0.105  B1.5V  -2.03  -1.85  -5.03 
B2V    20600  4.314  -2.06  -1.70  3.38 -0.210 -0.219  -0.790  -0.094 -0.230  -0.602  -0.113  -0.032   0.036  7.3   7.2*  -0.096  B2V    -1.25  -1.10  -3.75 
B2.5V  18500  4.267  -1.79  -1.40  3.10 -0.198 -0.206  -0.732  -0.087 -0.210  -0.544  -0.105  -0.026   0.036  6.1   7.3*  -0.090  B2.5V  -0.88  -0.75  -3.19 
B3V    17000  4.230  -1.58  -1.10  2.96 -0.178 -0.184  -0.673  -0.080 -0.192  -0.492  -0.098  -0.021   0.036  5.4   7.4*  -0.085  B3V    -0.73  -0.61  -2.78 
B4V    16700  4.223  -1.53  -0.80  2.81 -0.165 -0.170  -0.619  -0.074 -0.176  -0.447  -0.092  -0.016   0.036  5.0   7.5*  -0.081  B4V    -0.46  -0.35  -2.33 
